customer_id,first_name,last_name,gender,age,email,phone,city_id,customer_type,registration_date,preferred_contact,occupation,annual_income,marital_status
CUS000001,Sneha,Patel,MALE,38,sneha.patel1@gmail.com,9135698967,C031,Premium,14-05-2024,Phone,Teacher,2497477,Single
CUS000002,Sneha,Iyer,MALE,64,sneha.iyer2@gmail.com,9453222754,C210,Returning,10-08-2024,Phone,Engineer,2779454,married
CUS000003,Priya,Iyer,Male,63,priya.iyer3@gmail.com,9328393174,C045,premium,17-09-2024,Phone,Doctor,730251,Single
CUS000004,Rahul,Nair,Male,24,rahul.nair4@gmail.com,9781792000,C130,Premium,24-08-2024,Phone,Engineer,2934430,Single
CUS000005,Ananya,Reddy,male,36,ananya.reddy5@gmail.com,9253072328,C186,Returning,05-09-2024,Email,Teacher,731258,Married
CUS000006,Ananya,Sharma,male,36,ananya.sharma6@gmail.com,9621598207,C212,New,27-06-2024,Email,Doctor,907411,married
CUS000007,Rahul,Nair,MALE,45,rahul.nair7@gmail.com,9234308041,C171,Premium,12-08-2024,Email,Doctor,2257819,Single
CUS000008,Vikram,Sharma,Female,56,vikram.sharma8@gmail.com,9873290940,C207,New,05-05-2024,Email,Business,2442489,married
CUS000009,Vikram,Reddy,Female,46,vikram.reddy9@gmail.com,9445874898,C153,Premium,09-01-2024,Email,Engineer,2811220,Single
CUS000010,Sneha,Singh,Male,24,sneha.singh10@gmail.com,9824963623,C154,Premium,06-06-2024,Phone,Doctor,2902688,married
CUS000011,Priya,Sharma,Female,41,priya.sharma11@gmail.com,9170113742,C098,New,03-06-2024,WhatsApp,Business,2943452,married
CUS000012,Priya,Sharma,male,65,priya.sharma12@gmail.com,9647445915,C180,Returning,17-03-2024,Email,Doctor,468803,married
CUS000013,Vikram,Singh,Female,28,vikram.singh13@gmail.com,9607846621,C219,Returning,14-05-2024,Phone,Teacher,2192804,Married
CUS000014,Vikram,Sharma,Male,44,vikram.sharma14@gmail.com,9261153733,C193,New,22-10-2024,WhatsApp,Engineer,1712507,married
CUS000015,Ananya,Iyer,FEMALE,27,ananya.iyer15@gmail.com,9534802095,C092,Returning,11-06-2024,WhatsApp,Doctor,489082,Single
CUS000016,Ananya,Singh,FEMALE,50,ananya.singh16@gmail.com,9630747986,C189,Premium,22-08-2024,WhatsApp,Teacher,2932891,Single
CUS000017,Vikram,Singh,Male,30,vikram.singh17@gmail.com,9932948235,C071,Returning,10-05-2024,Phone,Engineer,1546566,married
CUS000018,Vikram,Sharma,MALE,60,vikram.sharma18@gmail.com,9199602333,C065,New,18-09-2024,Email,Teacher,2344141,married
CUS000019,Ananya,Singh,Male,37,ananya.singh19@gmail.com,9840077595,C092,New,05-02-2024,Phone,Doctor,1759657,Single
